stratum,source_listing_id,title,description,price_raw,area_raw,parsed_price,parsed_area,parsed_neighborhood,parsed_type,correct_price,correct_area,correct_neighborhood,correct_type,correct_building,verified_by,notes
random,banesa-78715,Banese me qira ne lagjen Mati 1,"Leshohet banese me qira ne lagjen Mati 1, kompleksi Evergreen, afer kopshtit Bardha. Banesa eshte komplet e mobiluar e re dhe e pershtatshme per banim.
Renditja:
Siperfaqe: 66m2
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 300 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511
",300 EUR,66,300.00,66.0,Mati,rent,,,,,,,
random,banesa-45178,Shitet banesa ne lagjen Arberia_2+1,"Banesë ne shitje në lagjen Arberi, mrapa Mini Maxit, banesa perfundon ne vitin 2022,
Kati:4-te
Sipërfaqe:97.69m2
Çmimi I shitjes:75000€
Renditja:
♦Sallon me kuzhinë
♦2 Dhoma gjumi
♦2 Banjo
♦Ballkon
♦Korridor
♦WC

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044/393-777
WhatsApp & Viber
+383 44 393 777
",800 EUR,97,800.00,97.0,Arbëria,sale,,,,,,,
random,banesa-59997,Banese me qira ne Lagjen e  Spitalit 2+1,"Leshoj banes me qira ne lagjen e Spitalit ,ndertim i Ariani Company rruga afer Spitalit,afer restaurant castle rruga qe shkon kah pallati i drejtesiseshume prane qendres me kushte te mira banimi
Banesa posedon:

-Sallon Kuzhin
-2dhoma Gjumi njera e pamobiluar mobilohet sipas deshires se klientit
-Banjo
-Koridor dhe Ballkon
-Kati i 2 lift funksional

-Cmimi 300 plus depozita
Banesa leshohet me qera afat gjate

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
b",300 EUR,75,300.00,75.0,Spitali,rent,,,,,,,
random,banesa-53716,Super oferte Banes ne shitje ne lagjen Mati 1 2+1,"Super Oferte Banesë ne shitje në lagjen Mati 1, ne lagjen prishtina e re afer restaurant CASTLE.Banesa eshte nderim iri dhe eshte e gateshme per banim.
Kati:3
Sipërfaqe:81 m2
Çmimi I shitjes:800 i diskutushem
Renditja:
♦Sallon me kuzhinë ndamas
♦2Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor
♦Depo
Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+38344 393 777
",800 EUR,81,800.00,81.0,Mati,sale,,,,,,,
random,banesa-52035,Leshohet banesa me qira ne Dardani,"Leshohet banesa me qira ne Dardani ngjite me posten e madhe.
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine
- banjo
- 2 ballkona
- depo
sistemin e nexemjes me tremokos.
kati 11, lifti punon 24 h.
Qmimi 250€
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511",220 EUR,70,220.00,70.0,Dardania,rent,,,,,,,
random,banesa-59548,Banese me qira ne lagjen Ulpiana,"Leshohet banese ,garsonjer, me qira ne Ulpian,Kati 2
Banesa ka kete renditje:
-  dhoma gjumi
-  kuzhine
- banjo
- koridor
Qmimi 200€

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511
049 124 677
+383 49 124 677",200 EUR,40,200.00,40.0,Ulpiana,rent,,,,,,,
random,banesa-73853,Banesë me qira në Ulpianë,"Lëshohet me qira banesa gasoniere në Ulpianë.Banesa është e mobiluar dhe e përshtatshme per banim.

Ndodhet ndodhet afër Menzës së Studentëve.

Sipërfaqja: 40m²
Çmimi: 220

Renditja:
•	Sallon
•	Kuzhinë
•	Banjo

Kodi: 2998

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

gjirafa.com/…

esa&amp;llshp=Qira
ose mund të na",220 EUR,40,220.00,40.0,Ulpiana,rent,,,,,,,
random,banesa-76343,Banese me qira ne lagjen Bregu i diellit,"Leshohet banese me qira ne lagjen Bregu i diellit, te banesat e bardha afer pompes Alp Petroll. Banesa eshte e mobiluar shume komode per banim.
Renditja:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 250 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511

",250 EUR,64,250.00,64.0,Bregu i Diellit,rent,,,,,,,
random,banesa-91768,Leshoj Banese me qira,Leshoj banese me qira ne prishtine ne bregun e diellit.Banesa ka 2 dhoma ka banjo korridor si dhe ka ballkon.Banesa eshte e mobiluar dhe e gatshme per banim.Qmimi eshte 250 euro dhe perfshihen te gjitha shpenzimet..,250 EUR,50,250.00,50.0,,rent,,,,,,,
random,banesa-81141,Banesë me qira te Lagjia e Muhaxherëve,"Lëshohet me qira banesa te Lagjia e Muhaxhereve, te Parku i Qytetit. Banesa është e mobiluar, e gatshme dhe e përshtatshme për banim.
Sipërfaqe: 90m²
Çmimi: 300
Rënditja
• Sallon dhe Kuzhinë
• 2 Dhoma gjumi
• Banjo
• Koridor
• Ballkon
Kodi: 3569
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

gjirafa.com/…

esa&amp;ll",300 EUR,90,300.00,90.0,,rent,,,,,,,
random,banesa-78902,Banese me qira ne lagjen Bregu i diellit,"Leshohet banese me qira ne lagjen Bregu i diellit te banesat e bardha, afer Xhamise. Banesa eshte komplet e mobiluar gjendet ne katin e 3-te, me siperfaqe prej 60m2.
Banesa ka kete renditje:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 250 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",250 EUR,60,250.00,60.0,Bregu i Diellit,rent,,,,,,,
random,banesa-68385,Banesë me qira te rruga B,"Lëshohet me qira banesa te rruga B, mbrapa Royal Mall: Banesa është e mobiluar dhe shumë e përshtatshme për banim.

Banesa ka të gjitha pajisjet e nevojshme dhe është e re.

Çmimi: 330

Rënditja
• Sallon dhe kuzhinë
• Dhomë gjumi
• Banjo
• Ballkon

Për më shumë informata mund të kontaktoni ne nurmin 04590019",330 EUR,65,330.00,65.0,Dardania,rent,,,,,,,
random,banesa-78272,Banese me qira ne Lagjen Mati 1,"Leshohet banese me qira ne lagjen Mati 1, rruga Ndue Perlleshi komplet e mobiluar, gjendet ne katin e 3-te me lift funksional.
Banesa ka kete renditje:
- Sallon
- Kuzhine
- 2 Dhoma gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 350 euro",350 EUR,80,350.00,80.0,Mati,rent,,,,,,,
random,banesa-69794,Banesë me qira te 4 Llullat,"Lëshohet me qira banesa te 4 Llullat, afër teatrit Dodona. Banesa është e mobiluar dhe e gatshme për banim.

Banesa ndodhet në katin e parë.

Sipërfaqja: 30m²
Çmimi: 200

Rënditja
• Sallon
• Kuzhinë
• Banjo
• Ballkon
Kodi: 2778

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

gjirafa.com/…

esa&amp;llshp=Qira
ose mund",200 EUR,30,200.00,30.0,Llullat,rent,,,,,,,
random,banesa-60139,Banese me qira ne lagjen Arberia 1+1,"Banesë me qira në lagjen Arberia afer komunes se re,banesa eshte e mobiluar ne tersi.
Kati:3
Sipërfaqe:60 m2
Çmimi i qirasë:270
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, ose mund të na kontaktoni në këtë numër telefoni
046 166 499
WhatsApp & Viber
+383 46 166 499",270 EUR,60,270.00,60.0,Arbëria,rent,,,,,,,
random,banesa-59878,SHITET SUPER BANESA AFER RRUGES B& C!,"SHITET  BANESA  AFER RRUGES B DHE C TE ALKO GROUP
Lagjia ""MATI 1""
87.8m2 kati 3
Banesa eshte komplet e mobiluar
Banesa eshte e leshuar me qira ne vlere 300euro
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine
- banjo
- WC
- ballkon
- koridor
- Depo
- Garazha
Qmimi 93000 euro!
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
","93,000 EUR",88,93000.00,88.0,,sale,,,,,,,
random,banesa-79336,Banesë me qira në Arbëri,"Lëshohet me qira banesa në Arbëri, te Kompleksi tregtia, përball Komunës. Banesa është e mobiluar në tërësi dhe është e përshtatshme për banim.
Ka të gjitha pajisjet e nevojshme. Sistemin e ngrohjes e ka me Termokos.
Çmimi: 350
Rënditja
•	Sallon dhe Kuzhinë
•	2 Dhoma gjumi
•	Banjo
•	Koridor
•	Ballkon

Kodi: 3303

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo banesa te l",350 EUR,1,350.00,,Arbëria,rent,,,,,,,
random,banesa-62955,Banese me qira te Parku i Qytetit,"Banesë me qira te Parku i Qytetit, banesa eshte e mobiluar ne teresi
Kati:6
Sipërfaqe:65
Çmimi i qirasë:250
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+38344 393 777
",250 EUR,65,250.00,65.0,Parku i Qytetit,rent,,,,,,,
random,banesa-8653,Banes ne shitje ne Lagje te Spitalit- te Royali,"Shitet banesa ne Lagje te Spitalit, objekti i Royalit, banesa eshte e mobiluar , gjendet ne katin e 7-te, lift funksional, ka nxemje qendrore, 55m2
Banesa posedon:
- dhome gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 450 000 euro

Per me shume informata ju lutem na kontaktoni ne numrin
WhatsApp & Viber:
045 190 019","45,000 EUR",55,45000.00,55.0,,sale,,,,,,,
random,banesa-75103,Banesë me qira te Qafa,"Leshohet me qira banesa te Qafa. E mobiluar dhe e pershtatshme per banim.
Ndodhet ne katin e 4.
Çmimi: 280
Renditja:
•	Sallon dhe Kuzhinë
•	Dhomë gjumi
•	Banjo
•	Koridor

Kodi: 3024

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

gjirafa.com/…

esa&amp;llshp=Qira
ose mund të na kontaktoni në këtë numër telefoni
044 3",280 EUR,0,280.00,,Qafa,rent,,,,,,,
random,banesa-47114,Banese me qira ne lagjen Ulpiana,"Leshohet banese me qira ne Ulpian më saktësisht afër ish Ben-Afit të vjetër.
Banesa ështē komplet e mobiluar me të gjitha pajisjet funksionale dhe të shfrytëzueshme
Banesa ka kete renditje:
-  dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 220€
bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511",220 EUR,45,220.00,45.0,Ulpiana,rent,,,,,,,
random,banesa-60508,Banese me qira ne lagjen Dardania 2+1,"Banesë me qira në lagjen  Dardania, banesa eshte e mobiluar ne teresi
Sipërfaqe:80
Çmimi i qirasë:450
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+38344 393 777
",450 EUR,80,450.00,80.0,Dardania,rent,,,,,,,
random,banesa-78710,Banese me qira ne lagjen Dardania,"Lëshohet banesa me qera ne Dardani te Posta e Madhe,në një vend shumë të përshtatshëm ku i ka afër të gjitha gjërat për një jetese sa më të mirë.
Banesa është me termokos,gjendet në katin e 6 me lift dhe ka këtë rënditje:
* Sallon
* Dhome gjumi
* Kuzhine
* Banjo
* Ballkon
Qmimi: 350 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511
",350 EUR,60,350.00,60.0,Dardania,rent,,,,,,,
random,banesa-65504,Banesë me qira te parku i Qytetit,"Banesë me qira te Parku i Qytetit, banesa eshte e mobiluar ne teresi,
Kati:4
Çmimi i qirasë:270
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, ose mund të na kontaktoni në këtë numër telefoni
044/393-777
WhatsApp & Viber
+383 44 393 777",270 EUR,75,270.00,75.0,Parku i Qytetit,rent,,,,,,,
random,banesa-31267,Banes me qira ne lagjen Arberia tek Vip Tregtia,"Leshohet banese me qira ne lagjen Arberia, tek Vip Tregtia. Eshte e mobiluar me te gjitha pajisjet, gjendet ne katin e 2-te, pamje nga qyteti.

Siperfaqe: 65m2
Renditja:
Sallon me kuzhine * dhome gjumi * banjo * ballkon * korridor
Çmimi: 300 €

Per me shume informata rreth kesaj banese mund te na shkruani linkun me id ose nje screenshot te shpalljes, apo nje kerkese tuajen per banesa tjera, ne kete numer telefoni:
044 393 777
WhatsApp & Viber
+383 44 393 777",300 EUR,65,300.00,65.0,,rent,,,,,,,
random,banesa-60862,Banese me qira ne lagje te Spitalit_2+1,"Banesë me qira në lagjen e Spitalit, banesa eshte e re e mbiluar ne teresi
Kati:10
Sipërfaqe: 96
Çmimi i qirasë:
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor
♦ Depo
♦ Garazh

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+383 44 393 777

",400 EUR,96,400.00,96.0,Spitali,rent,,,,,,,
random,banesa-44196,Banese me qira ne lagjen Arberia_2+1,"Banesë me qira në lagjen Arberia, rr.Vicianum, banesa eshte komplet e mobiluar
Sipërfaqe:70m2
Çmimi I qirasë:300€
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044/393-777
WhatsApp & Viber
+383 44 393 777
",300 EUR,70,300.00,70.0,Arbëria,rent,,,,,,,
random,banesa-91136,Banese me qira ne Qender,"Ofrohet për qira Banesë 65m² ne qender.
Banesa gjendet  mbrapa Hotel Sirius afer Parkut te qytetit
Banesa posedon:
• 1 🛋  Sallon Kuzhinë & Tryezari
• 1 🛏  Dhome të fjetjes
• 1 🛁   Banjo
•  Ballkon
•  Hapësirë e mjaftueshme për 🅿️
Kati i 4-të
Çmimi: 280€ muaji + Avansi
bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677",280 EUR,65,280.00,65.0,Qendra,rent,,,,,,,
random,banesa-84166,Banese me qira ne Lagje te Spitalit,"Leshohet banese me qira ne lagjen e Spitalit, e mobiluar në tërësi me te gjitha paisjet funksionale modern, banesa ka ngrohje qendrore me Termokos
Banesa ndodhet ne katin e 1-re
Sipërfaqe: 65m2
Rënditja
• Sallon dhe Kuzhinë
• Dhome gjumi
• Banjo
• Ballkon
• Koridor
Kodi: 3809
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/s",350 EUR,65,350.00,65.0,Spitali,rent,,,,,,,
random,banesa-81924,Banesë me qira në Tophane,"Lëshohet me qira banesa/gasoniere në Tophane, shumë afër Qendrës. Banesa është e mobiluar e gatshme dhe e përshtatshme për banim.
Banesa ka të gjitha pajisjet e nevojshme funksionale.
Sipërfaqe: 32m²
Çmimi: 180
Rënditja
• Sallon
• Kuzhinë
• Banjo
Kodi: 3656
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

gjirafa.com/…",180 EUR,32,180.00,32.0,Tophane,rent,,,,,,,
random,banesa-74275,Banese me qira ne Lagjen e Muhaxherve,"Leshohet banese me qira ne Lagje te Muhaxherve perballe hotel Afa. Ka pamje nga qyteti, hapesire prej 110m2 e ben sume te pershtatshme per banim.
Banesa ka kete renditje:
- Sallon
- Kuzhine
- 3 Dhoma gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 500 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",500 EUR,100,500.00,100.0,Muhaxhere,rent,,,,,,,
random,banesa-77511,Banese me qira ne Lagje te Spitalit,"Leshohet banese me qira ne Lagje te Spitalit, rruga Vellezerit Asllani, Afer Qkuk. Banesa eshte e mobiluar komplet.
Renditja:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
- Garazhe
Cmimi: 300 euro me garazhe

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",300 EUR,60,300.00,60.0,Spitali,rent,,,,,,,
random,banesa-79389,Banese me qira ne lagjen Bregu i diellit,"Leshohet banese me qira ne lagjen Bregu i diellit ne katin e 3-te, objekti 6, Pozicioni i banesës është afër Royall Mallit, ka afër shkollën ''ILIRIA''', transportin publik , hapësirë të mjaftueshme për fëmij (fushen e futbollit, basketit dhe kendin e lojerave).
Banesa ka kete renditje:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 300 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 What",300 EUR,64,300.00,64.0,Bregu i Diellit,rent,,,,,,,
random,banesa-8475,Banes me qira ne Ulpiane,"Leshoj banes me qira ne Ulpiane, banesa eshte mobiluar ne teresi, gjendet Mbrapa Hotel Bacit, kati i 3-t, 65m2
Banesa posedon:
- sallon dhe kuzhine
- dhome gjumi
- banjo
- ballkon
- koridor
Qmimi 250 euro

Per me shume informata ju lutem na kontaktoni ne numrin:
045 190 019
WhatsApp & Viber:
+383 45 190 019",250 EUR,65,250.00,65.0,Ulpiana,rent,,,,,,,
random,banesa-53048,Banese me qira ne lagjen e Spitalit,"Leshohet gasonjere me qira ne Lagjen e Spitalit, afer Frutaria dhe hamburger AB

Bbanesa ka kete renditje:
- dhom gjumi
- sallon dhe kuzhine
- banjo


Qmimi 220€ + uji + mbeturina

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511
049 124 677
+383 49 124 677
",220 EUR,0,220.00,,Spitali,rent,,,,,,,
random,banesa-34349,Banese ne shitje ne lagjen Arberia,"Shitet banesa ne lagjen Arberia, afer komunes se re perballe Meridianit, kompleksi "" Tregtia. Banesa eshte e mobiluar, e gatshme per banim, gjendet ne katin e 2-te, ka siperfaqe prej 67.5m2

Renditja:
Sallon me kuzhine, dhome gjumi, banjo, ballkon, korridor
Qmimi: 75 000 €

Per me shume informata mund te na kontaktoni ne kete numer telefoni:
044 393 777
WhatsApp & Viber
+383 44 393 777","75,000 EUR",67,75000.00,67.0,Arbëria,sale,,,,,,,
random,banesa-75781,Banese ( Penthouse ) me qira ne Lagje te Spitalit,"Leshohet banese ( Penthouse )  me qira ne Lagje te Spitalit, rruga Muharrem Fejza, ne kompleksin Art Construction. Banesa eshte komplet e kombiluar e gatshme per banim.
Kati i 9-te, me ashensor funksional
Ngrohje me termokos,
Renditja:
- Sallon
- Kuzhine
- 2 Dhoma gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 350 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",350 EUR,90,350.00,90.0,Spitali,rent,,,,,,,
