review_id,source_listing_id,original_url,stratum,title,description_excerpt,price_raw,area_raw,listing_type_raw,auto_label_price,auto_label_area,auto_label_neighborhood,auto_label_type,parser_price,parser_area,parser_neighborhood,parser_type,human_price_ok,human_area_ok,human_neighborhood_ok,human_type_ok,human_notes
11,banesa-49374,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-49374,high_confidence,Banese me qira ne Emshir,"Leshohet banese me qira ne Emshir,Te Kullat e Arabve,Kati 5
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine
- banjo
- 2 ballkona
- koridor
Qmimi 300€
bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511Leshohet banese me qira ne Emshir,Te Kullat e Arabve,Kati 5
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine
- banjo
- 2 ball",300 EUR,85,Qira,300.00,85.0,Emshir,rent,300.00,85.0,Emshir,rent,,,,,
12,banesa-78167,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78167,invalid,Banesë me qira në Arbëri,"Lëshohet me qira banesa në Arbëri, përball Ambasadës Amerikane, afër Jysk. Banesa është e mobiluar dhe e përshtatshme për banim.
Banesa ka këtë renditje:
•	Sallon dhe Kuzhinë
•	2 Dhoma gjumi
•	Banjo
•	WC
•	Ballkon
•	Koridor

Kodi: 3293

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume ",1 EUR,1,Qira,1.00,,Arbëri,rent,1.00,,Arbëri,rent,,,,,
13,banesa-56103,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-56103,random,Banese me qira ne lagjen Ulpiane 1+1,"Banesë me qira në lagjen Ulpiane,Banesa eshte e mobiluar ne teresi dhe eshte e lire nga data 01.11.22
Kati:2
Sipërfaqe:50 m2
Çmimi i qirasë:300
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+3834",300 EUR,50,Qira,300.00,50.0,Ulpiane,rent,300.00,50.0,Ulpiane,rent,,,,,
14,banesa-83589,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-83589,random,Banese me qira ne lagjen Arberia,"Lëshohet me qira banesa eksluzive në lagjen Arbëria/Dragodan , rruga Vicianum kompleksi Tregtia shume afer me Marketin Meridian dhe Komunen e re. Banesa është e mobiluar në tërësi me te gjitha pajisjet e domosdoshme dhe te përshtatshme për banim.
Banesa ka sistemin e ngrohjes me Termokos.
Banesa leshohet per familjar/qift
Çmimi:
, plus depoziti i obliguar
Renditja:
• Sallon dhe kuzhinë
• Dhomë gju",280 EUR,60,Qira,280.00,60.0,Arberia,rent,280.00,60.0,Arberia,rent,,,,,
15,banesa-79224,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79224,random,Banesë me qira në Ulpianë,"Lëshohet me qira banesa në Ulpianë, te Fontana. Banesa është e mobiluar e përshtatshme për banim.
Banesa sistemin e ngrohjes e ka me Termokos. Ka ashensor funksional.
Sipërfaqe: 70m²
Çmimi: 300
Rënditja
•	Sallon dhe Kuzhinë
•	2 Dhoma
•	Banjo
•	Koridor

Kodi: 3290

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realest",300 EUR,70,Qira,300.00,70.0,Ulpianë,rent,300.00,70.0,Ulpianë,rent,,,,,
16,banesa-79396,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79396,random,Banese me qira ne lagjen Bregu i diellit,"Banesa me Qira në Bregu i Diellit
Adresa: Rruga “Hilmi Rakovica”, Bregu i Diellit

• Sipërfaqe: 50 m²
• Përbëhet nga:
• 1 Dhomë gjumi
• Sallon i madh i bashkangjitur me kuzhinë
• Banjo me WC
• Korridor
• Ballkon me pamje të bukur nga qyteti

Banesa gjithashtu posedon një nen-kulim, të arritshëm përmes shkallëve të brendshme.

Çmimi i qirasë: 250 EURO në muaj.

bit.ly/3n3a6PU

Per me shume informat",250 EUR,50,Qira,250.00,50.0,Bregu i diellit,rent,250.00,50.0,Bregu i diellit,rent,,,,,
17,banesa-77511,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77511,random,Banese me qira ne Lagje te Spitalit,"Leshohet banese me qira ne Lagje te Spitalit, rruga Vellezerit Asllani, Afer Qkuk. Banesa eshte e mobiluar komplet.
Renditja:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
- Garazhe
Cmimi: 300 euro me garazhe

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",300 EUR,60,Qira,300.00,60.0,Spitalit,rent,300.00,60.0,Spitalit,rent,,,,,
18,banesa-81924,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81924,random,Banesë me qira në Tophane,"Lëshohet me qira banesa/gasoniere në Tophane, shumë afër Qendrës. Banesa është e mobiluar e gatshme dhe e përshtatshme për banim.
Banesa ka të gjitha pajisjet e nevojshme funksionale.
Sipërfaqe: 32m²
Çmimi: 180
Rënditja
• Sallon
• Kuzhinë
• Banjo
Kodi: 3656
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmar",180 EUR,32,Qira,180.00,32.0,Tophane,rent,180.00,32.0,Tophane,rent,,,,,
19,banesa-77144,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77144,random,Banesë me qira te Muharrem Fejza,"Lëshohet me qira banesa te Muharrem Fejza, kompleksi Luledielli. Banesa është e mobiluar dhe e përshtatshme për banim.
Ndodhet në katin e 6, posedon ashensor funksional.
Sipërfaqe: 70m²
Çmimi: 350
Banesa ka këtë renditje:
•	Sallon dhe Kuzhinë
•	Dhomë gjumi
•	Banjo
•	Ballkon
•	Koridor

Kodi: 3111

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
,",350 EUR,70,Qira,350.00,70.0,Muharrem Fejza,rent,350.00,70.0,Muharrem Fejza,rent,,,,,
20,banesa-55595,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-55595,random,Banese me qira ne lagjen e spitalit 1+1,"Banesë me qira në lagjen e Spitalit,ne rrugen e Shkupit, mbrapa Spitalit Amerikan, ne komplrksin Hill Rezidenc.Banesa eshte e mobiluar ne teresi dhe e re.
Kati:3
Sipërfaqe:65 m2
Çmimi i qirasë:300
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në k",300 EUR,65,Qira,300.00,65.0,spitalit,rent,300.00,65.0,spitalit,rent,,,,,
21,banesa-77537,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77537,random,Garsoniere me qira ne lagjen Ulpiana,"Leshohet banese  ( garsoniere )me qira ne lagjen Ulpiana, komplet e mobiluar
Banesa ka kete renditje:
- Sallon
- Kuzhine
- Banjo
Cmimi: 200 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511
",200 EUR,50,Qira,200.00,50.0,Ulpiana,rent,200.00,50.0,Ulpiana,rent,,,,,
22,banesa-60509,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-60509,random,Banesa me qira te Qafa,"Banesë me qira te Qafa, banesa eshte e mobiluar ne teresi
Kati:3
Sipërfaqe:65
Çmimi i qirasë:
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër telefoni
04",350 EUR,65,Qira,350.00,65.0,Qafa,rent,350.00,65.0,Qafa,rent,,,,,
23,banesa-81128,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81128,random,Banesë me qira në Tophane,"Lëshohet me qira banesa në Tophane. Banesa është e mobiluar në tërësi, e gatshme për banim.
Banesa ndodhet në katin e 4, posedon ashensor.
Sipërfaqe: 50m²
Çmimi: 250
Rënditja
• Sallon dhe Kuzhinë
• Dhomë gjumi
• Banjo
• Koridor
• Ballkon
Kodi: 3576
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo p",250 EUR,50,Qira,250.00,50.0,Tophane,rent,250.00,50.0,Tophane,rent,,,,,
24,banesa-44196,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-44196,random,Banese me qira ne lagjen Arberia_2+1,"Banesë me qira në lagjen Arberia, rr.Vicianum, banesa eshte komplet e mobiluar
Sipërfaqe:70m2
Çmimi I qirasë:300€
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044/393-777
WhatsApp & Viber
+383 44 393 777
",300 EUR,70,Qira,300.00,70.0,Arberia,rent,300.00,70.0,Arberia,rent,,,,,
25,banesa-31252,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-31252,random,Ekstra banese me qira ne lagjen Lakrishte,"Ekstra banese me qira ne lagjen Lakrishte, kompleksi "" Ramiz Sadiku "", mrapa NLB Bank. Banesa eshte komplet e mobiluar, moderne, gjendet ne katin e 9-te, lift funksional, ngrohje qendrore me Termokos.
Siperfaqe: 67m2
Renditja:
Sallon me kuzhine * dhome gjumi * banjo * ballkon * korridor
Çmimi: 350 €

Per me shume informata rreth kesaj banese mund te na shkruani linkun me id ose nje screenshot te s",350 EUR,67,Qira,350.00,67.0,Lakrishte,rent,350.00,67.0,Lakrishte,rent,,,,,
26,banesa-59395,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59395,random,Banese me qira ne lagjen Tophane,"Banesë me qira në lagjen Tophane, eshte ndertim i ri, banesa eshte e mobiluar ne teresi,
Sipërfaqe:60
Çmimi i qirasë:300
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontakton",300 EUR,60,Qira,300.00,60.0,Tophane,rent,300.00,60.0,Tophane,rent,,,,,
27,banesa-78490,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78490,high_confidence,Banese me qira te Parku i qytetit,"Leshohet banese me qira te Parku i qytetit, komplet e mobiluar, kati i 4-te me siperfaqe  prej 75 m2.
Banesa ka kete renditje:
- Sallon
- Kuzhine
-2 Dhoma gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 400 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",400 EUR,75,Qira,400.00,75.0,Parku i qytetit,rent,400.00,75.0,Parku i qytetit,rent,,,,,
28,banesa-60512,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-60512,high_confidence,Banese me qira ne lagjen Emshir_2+1,"Banesë me qira në lagjen  Emshir, kompleksi Pirshtina Stars, banesa eshe e mobiluar ne teresi, moderne
Sipërfaqe:77
Çmimi i qirasë:400
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund",400 EUR,77,Qira,400.00,77.0,Emshir,rent,400.00,77.0,Emshir,rent,,,,,
29,banesa-30253,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-30253,high_confidence,Ipet banese me qira ne lagjen Dardania,"Ipet banese me qira ne lagjen Dardania, te Santea. Eshte komplet e mobiluar, e renovuar me mobile te reja, gjendet ne katin e 1, ngrohje me termokos.

Siperfaqe: 65m2
Renditja:
Sallon me kuzhine / Dhome gjumi / Banjo / Ballkon / Korridor
Qmimi: 350 €

Per me shume informata rreth kesaj banese mund te na shkruani linkun me id ose nje screenshot te shpalljes, apo nje kerkese tuajen per banesa tjera,",350 EUR,65,Qira,350.00,65.0,Dardania,rent,350.00,65.0,Dardania,rent,,,,,
30,banesa-89799,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-89799,random,Banese me qira ne Arberi,"Banesa me qera në lagjen me te mire ne Prishtine ,ne Lagjen Arberia rruga Bashkim Fehmiu Kompleksi Tregtia
Banesa eshte e mobiluar me te gjitha elementet,,shume komode per bqnim
Banesa posedon  nxemjen  me termokos
Kati: 2-te
Sipërfaqe: 65m2
Çmimi 320 plus depozita e obliguar
-
Banesa gjendet në një ambient të përshtatshëm për banim
-
Banesa është e orientuar në lindje dhe e ekspozuar mjaft ndaj D",320 EUR,65,Qira,320.00,65.0,Arberi,rent,320.00,65.0,Arberi,rent,,,,,
31,banesa-53664,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-53664,random,Banes ne shitje ne lagjen Sllovenia e sportit  1+1,"Banesë ne shitje në lagjen Sllovenia e sportit afer te Parku i Qytetit,ne rrugen Isa Kastrati.Banesa eshte e mobiluar ne teresi.

Sipërfaqe:50 m2
Çmimi I shitjes:45 000
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044 393 7","54,000 EUR",50,Shitet,54000.00,50.0,Sllovenia e sportit,sale,54000.00,50.0,Sllovenia e sportit,sale,,,,,
32,banesa-77054,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77054,random,Banese me qira ne Ulpiane,"🎉 Banesë me Qira në Ulpianë! 🏡

📍 Adresa: Rruga “Deshmoret e Kombit”, mbrapa ish Hotel Bacit

💰 Çmimi: 300 euro
🔑 Detajet e Banesës:

⭕️ 2 dhoma gjumi
⭕️ Sallon me kuzhinë
⭕️ Koridor
⭕️ Banjo
⭕️ Ballkon

📍 Karakteristika të Veçanta:
Nxemje qendrore me Termokos
Dritare të reja me 3 xhama dhe roletne të aluminit

📞 Për më shumë informacion ose për të caktuar një vizitë, ju lutem kontaktoni:
049 124 ",300 EUR,68,Qira,300.00,68.0,Ulpiane,rent,300.00,68.0,Ulpiane,rent,,,,,
33,banesa-52151,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-52151,random,Banese ne shitje ne lagjen Tophane 4+1,"Banesë ne shitje në lagjen Tophane, ne rrugen Pjeter Bogdani.Bnesa eshte e mobiluar ne teresi me te gjitha paisjet.Banesa eshte me dy hyrje te ndara,banesa ka dy ora  rrymes dy ora te ujit dhe mund te ndahet vetem me nje mure dy banesa.
Kati:
Sipërfaqe:129 m2
Çmimi I shitjes:950 m2
Renditja:
♦Sallon me kuzhinë
♦4Dhomë gjumi
♦2Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like fa",950 EUR,129,Shitet,95000.00,129.0,Tophane,sale,95000.00,129.0,Tophane,sale,,,,,
34,banesa-61108,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-61108,random,Banese me qira ne lagjen Emshir_2+1,"Banesë me qira në lagjen emshir, banesa esht e re e mobiluar ne teresi, e pa banuar me pare
Kati:2
Sipërfaqe:110
Çmimi i qirasë:420
Renditja:
♦Sallon me kuzhinë
♦3 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të",420 EUR,110,Qira,420.00,110.0,Emshir,rent,420.00,110.0,Emshir,rent,,,,,
35,banesa-54990,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-54990,random,Banese me qira ne Qender,"Leshohet banese me qira ne Qnder , Perball RTK,Kati 4
Banesa ka kete renditje:
- 1 dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 300€

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511
",300 EUR,50,Qira,300.00,50.0,Qender,rent,300.00,50.0,Qender,rent,,,,,
36,banesa-54067,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-54067,random,Banese me qira ne Dardani,"Leshohet banese me qira ne Dardani , mbi kurriz,Kati15
Banesa ka kete renditje:
- 1 dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 230€

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511
",230 EUR,60,Qira,230.00,60.0,Dardani,rent,230.00,60.0,Dardani,rent,,,,,
37,banesa-78715,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78715,random,Banese me qira ne lagjen Mati 1,"Leshohet banese me qira ne lagjen Mati 1, kompleksi Evergreen, afer kopshtit Bardha. Banesa eshte komplet e mobiluar e re dhe e pershtatshme per banim.
Renditja:
Siperfaqe: 66m2
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 300 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe V",300 EUR,66,Qira,300.00,66.0,Mati 1,rent,300.00,66.0,Mati 1,rent,,,,,
38,banesa-80370,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-80370,invalid,Banesë me qira te Bregu i Diellit,"Lëshohet me qira banesa te Bregu i Diellit. Banesa është e mobiluar dhe është e përshtatshme për banim.
Ka të gjitha pajisjet funksionale. Sistemin e ngrohjes e ka me Termokos.
Çmimi:  i diskutueshem
Rënditja
• Kuzhinë
• 2 Dhoma gjumi
• Banjo
• Koridor
Kodi: 3431
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realesta",1 EUR,1,Qira,1.00,,Bregu i Diellit,rent,1.00,,Bregu i Diellit,rent,,,,,
39,banesa-64029,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-64029,random,Banese me qira ne Qender,"Banesë me qira në Qender, rr.Shaban Polluzha mrapa Teatrit, eshte e mobiluar ne teresi, vend shume i pershtatshem
Kati:7
Sipërfaqe:55
Çmimi i qirasë:250
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile",250 EUR,55,Qira,250.00,55.0,Qender,rent,250.00,55.0,Qender,rent,,,,,
40,banesa-52455,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-52455,random,Banese me qira ne Emshir,"Leshohet banese me qira ne Emshir, objekti i Nartelit te banesat e Arabve.
Banesa ndodhet ne katin e 1, dhe ka ngrohje me termokos.

Banesa ka kete renditje:
- dhom gjumi
- sallon dhe kuzhine
- banjo
- koridor
- depo
- ballkon


Qmimi 250€
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511
",250 EUR,60,Qira,250.00,60.0,Emshir,rent,250.00,60.0,Emshir,rent,,,,,
